Shanghai,24240000,,,Zhejiang,57370000,,,Jiangsu,80400000,,,Shaanxi,37430000,,,Shandong,100470000,,,Anhui,62000000,,,Beijing,21540000,,,Chongqing,30750000,,,Fujian,38570000,,,Gansu,25640000,,,Guangdong,113460000,,,Guangxi,48380000,,,Guizhou,34690000,,,Hainan,9260000,,,Hebei,74700000,,,Heilongjiang,38340000,,,Henan,95590000,,
Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med,Active,Total,Pop,Med
3.71E-07,3.71E-07,3813,0.811228513,1.74E-07,1.74E-07,560,0.313519608,1.24E-08,1.24E-08,780,0.312251462,0,0,186.5,0.174421206,1.99E-08,1.99E-08,650.59,0.513979194,1.61E-08,1.61E-08,447,0.175311382,6.50E-07,6.50E-07,1292,0.593809524,1.95E-07,1.95E-07,373,0.239149453,2.59E-08,2.59E-08,322,0.224377576,0,0,57,0.063519701,2.29E-07,2.29E-07,620,0.277077778,4.13E-08,4.13E-08,206,0.144101695,2.88E-08,2.88E-08,203,0.159284091,4.32E-07,4.32E-07,272,0.152352941,1.34E-08,1.34E-08,400,0.431070858,0,0,83,0.044676211,5.23E-08,5.23E-08,572,0.425682635
6.60E-07,6.60E-07,3813,0.811228513,4.71E-07,4.71E-07,560,0.313519608,6.22E-08,6.22E-08,780,0.312251462,8.01E-08,8.01E-08,186.5,0.174421206,5.97E-08,5.97E-08,650.59,0.513979194,1.45E-07,1.45E-07,447,0.175311382,1.02E-06,1.02E-06,1292,0.593809524,2.93E-07,2.93E-07,373,0.239149453,1.30E-07,1.30E-07,322,0.224377576,7.80E-08,0,57,0.063519701,2.64E-07,2.82E-07,620,0.277077778,1.03E-07,1.03E-07,206,0.144101695,8.65E-08,8.65E-08,203,0.159284091,5.40E-07,5.40E-07,272,0.152352941,0,1.34E-08,400,0.431070858,7.06E-08,7.06E-08,83,0.044676211,5.23E-08,5.23E-08,572,0.425682635
7.84E-07,8.25E-07,3813,0.811228513,7.50E-07,7.50E-07,560,0.313519608,1.12E-07,1.12E-07,780,0.312251462,1.34E-07,1.34E-07,186.5,0.174421206,1.49E-07,1.49E-07,650.59,0.513979194,2.42E-07,2.42E-07,447,0.175311382,1.62E-06,1.67E-06,1292,0.593809524,8.78E-07,8.78E-07,373,0.239149453,2.59E-07,2.59E-07,322,0.224377576,7.80E-08,0,57,0.063519701,4.49E-07,4.67E-07,620,0.277077778,4.75E-07,4.75E-07,206,0.144101695,8.65E-08,8.65E-08,203,0.159284091,8.64E-07,8.64E-07,272,0.152352941,1.34E-08,2.68E-08,400,0.431070858,1.06E-07,1.41E-07,83,0.044676211,9.42E-08,9.42E-08,572,0.425682635
1.32E-06,1.36E-06,3813,0.811228513,1.08E-06,1.08E-06,560,0.313519608,2.24E-07,2.24E-07,780,0.312251462,4.01E-07,4.01E-07,186.5,0.174421206,2.69E-07,2.69E-07,650.59,0.513979194,6.29E-07,6.29E-07,447,0.175311382,1.81E-06,1.90E-06,1292,0.593809524,1.85E-06,1.85E-06,373,0.239149453,4.67E-07,4.67E-07,322,0.224377576,1.56E-07,0,57,0.063519701,6.70E-07,6.87E-07,620,0.277077778,4.75E-07,4.75E-07,206,0.144101695,1.15E-07,1.15E-07,203,0.159284091,2.05E-06,2.05E-06,272,0.152352941,9.37E-08,1.07E-07,400,0.431070858,2.82E-07,3.18E-07,83,0.044676211,3.35E-07,3.35E-07,572,0.425682635
1.57E-06,1.65E-06,3813,0.811228513,1.81E-06,1.81E-06,560,0.313519608,4.10E-07,4.10E-07,780,0.312251462,5.88E-07,5.88E-07,186.5,0.174421206,4.58E-07,4.58E-07,650.59,0.513979194,9.68E-07,9.68E-07,447,0.175311382,3.06E-06,3.16E-06,1292,0.593809524,2.44E-06,2.44E-06,373,0.239149453,9.07E-07,9.07E-07,322,0.224377576,2.73E-07,0,57,0.063519701,9.61E-07,9.78E-07,620,0.277077778,7.44E-07,7.44E-07,206,0.144101695,1.44E-07,1.44E-07,203,0.159284091,2.38E-06,2.38E-06,272,0.152352941,1.61E-07,1.74E-07,400,0.431070858,4.94E-07,5.29E-07,83,0.044676211,8.58E-07,8.68E-07,572,0.425682635
2.02E-06,2.19E-06,3813,0.811228513,2.21E-06,2.23E-06,560,0.313519608,5.72E-07,5.85E-07,780,0.312251462,9.35E-07,9.35E-07,186.5,0.174421206,7.46E-07,7.46E-07,650.59,0.513979194,1.13E-06,1.13E-06,447,0.175311382,3.57E-06,3.71E-06,1292,0.593809524,3.58E-06,3.58E-06,373,0.239149453,1.53E-06,1.53E-06,322,0.224377576,5.46E-07,0,57,0.063519701,1.30E-06,1.33E-06,620,0.277077778,9.51E-07,9.51E-07,206,0.144101695,2.02E-07,2.02E-07,203,0.159284091,3.46E-06,3.56E-06,272,0.152352941,2.28E-07,2.41E-07,400,0.431070858,7.06E-07,7.41E-07,83,0.044676211,1.33E-06,1.34E-06,572,0.425682635
3.09E-06,3.30E-06,3813,0.811228513,5.11E-06,5.16E-06,560,0.313519608,1.22E-06,1.23E-06,780,0.312251462,1.23E-06,1.23E-06,186.5,0.174421206,9.46E-07,9.46E-07,650.59,0.513979194,1.71E-06,1.71E-06,447,0.175311382,3.99E-06,4.22E-06,1292,0.593809524,4.29E-06,4.29E-06,373,0.239149453,2.07E-06,2.07E-06,322,0.224377576,7.41E-07,0,57,0.063519701,1.79E-06,1.82E-06,620,0.277077778,1.01E-06,1.05E-06,206,0.144101695,2.59E-07,2.59E-07,203,0.159284091,4.21E-06,4.32E-06,272,0.152352941,4.28E-07,4.42E-07,400,0.431070858,1.13E-06,1.16E-06,83,0.044676211,1.75E-06,1.76E-06,572,0.425682635
3.71E-06,3.96E-06,3813,0.811228513,5.11E-06,5.16E-06,560,0.313519608,1.22E-06,1.23E-06,780,0.312251462,1.50E-06,1.50E-06,186.5,0.174421206,1.28E-06,1.29E-06,650.59,0.513979194,2.42E-06,2.45E-06,447,0.175311382,4.92E-06,5.15E-06,1292,0.593809524,4.75E-06,4.78E-06,373,0.239149453,2.18E-06,2.18E-06,322,0.224377576,9.36E-07,0,57,0.063519701,2.40E-06,2.44E-06,620,0.277077778,1.16E-06,1.20E-06,206,0.144101695,2.31E-07,2.59E-07,203,0.159284091,4.54E-06,4.64E-06,272,0.152352941,6.29E-07,6.43E-07,400,0.431070858,1.31E-06,1.34E-06,83,0.044676211,2.12E-06,2.16E-06,572,0.425682635
4.37E-06,4.62E-06,3813,0.811228513,7.39E-06,7.46E-06,560,0.313519608,1.59E-06,1.60E-06,780,0.312251462,1.68E-06,1.68E-06,186.5,0.174421206,1.56E-06,1.57E-06,650.59,0.513979194,3.19E-06,3.23E-06,447,0.175311382,5.06E-06,5.29E-06,1292,0.593809524,5.89E-06,5.92E-06,373,0.239149453,2.62E-06,2.62E-06,322,0.224377576,1.01E-06,0,57,0.063519701,3.03E-06,3.12E-06,620,0.277077778,1.57E-06,1.61E-06,206,0.144101695,3.17E-07,3.46E-07,203,0.159284091,4.75E-06,4.97E-06,272,0.152352941,8.57E-07,8.70E-07,400,0.431070858,1.48E-06,1.55E-06,83,0.044676211,2.87E-06,2.91E-06,572,0.425682635
5.86E-06,6.31E-06,3813,0.811228513,1.01E-05,1.04E-05,560,0.313519608,2.45E-06,2.51E-06,780,0.312251462,2.32E-06,2.32E-06,186.5,0.174421206,1.81E-06,1.83E-06,650.59,0.513979194,3.77E-06,3.82E-06,447,0.175311382,6.17E-06,6.45E-06,1292,0.593809524,6.83E-06,6.86E-06,373,0.239149453,3.11E-06,3.11E-06,322,0.224377576,1.13E-06,0,57,0.063519701,3.75E-06,3.84E-06,620,0.277077778,1.76E-06,1.80E-06,206,0.144101695,7.78E-07,8.36E-07,203,0.159284091,5.40E-06,5.62E-06,272,0.152352941,1.08E-06,1.10E-06,400,0.431070858,2.01E-06,2.08E-06,83,0.044676211,3.63E-06,3.68E-06,572,0.425682635
6.52E-06,6.97E-06,3813,0.811228513,1.01E-05,1.04E-05,560,0.313519608,2.44E-06,2.51E-06,780,0.312251462,2.70E-06,2.70E-06,186.5,0.174421206,2.02E-06,2.05E-06,650.59,0.513979194,4.71E-06,4.79E-06,447,0.175311382,7.34E-06,7.80E-06,1292,0.593809524,7.90E-06,8.03E-06,373,0.239149453,3.73E-06,3.73E-06,322,0.224377576,1.56E-06,0,57,0.063519701,4.59E-06,4.72E-06,620,0.277077778,2.03E-06,2.07E-06,206,0.144101695,7.78E-07,8.36E-07,203,0.159284091,6.48E-06,6.70E-06,272,0.152352941,1.27E-06,1.29E-06,400,0.431070858,2.68E-06,2.82E-06,83,0.044676211,4.36E-06,4.41E-06,572,0.425682635
7.05E-06,7.51E-06,3813,0.811228513,1.11E-05,1.15E-05,560,0.313519608,2.85E-06,2.94E-06,780,0.312251462,3.10E-06,3.10E-06,186.5,0.174421206,2.23E-06,2.29E-06,650.59,0.513979194,5.37E-06,5.48E-06,447,0.175311382,8.40E-06,8.87E-06,1292,0.593809524,9.46E-06,9.76E-06,373,0.239149453,4.12E-06,4.12E-06,322,0.224377576,1.87E-06,1.17E-07,57,0.063519701,5.44E-06,5.57E-06,620,0.277077778,2.25E-06,2.29E-06,206,0.144101695,1.04E-06,1.10E-06,203,0.159284091,6.37E-06,6.91E-06,272,0.152352941,1.34E-06,1.39E-06,400,0.431070858,3.21E-06,3.35E-06,83,0.044676211,5.03E-06,5.16E-06,572,0.425682635
7.92E-06,8.37E-06,3813,0.811228513,1.20E-05,1.26E-05,560,0.313519608,3.27E-06,3.37E-06,780,0.312251462,3.42E-06,3.42E-06,186.5,0.174421206,2.51E-06,2.58E-06,650.59,0.513979194,6.35E-06,6.58E-06,447,0.175311382,9.24E-06,9.84E-06,1292,0.593809524,1.06E-05,1.10E-05,373,0.239149453,4.61E-06,4.64E-06,322,0.224377576,2.03E-06,1.17E-07,57,0.063519701,6.20E-06,6.39E-06,620,0.277077778,2.48E-06,2.63E-06,206,0.144101695,1.27E-06,1.33E-06,203,0.159284091,7.24E-06,7.78E-06,272,0.152352941,1.46E-06,1.51E-06,400,0.431070858,4.13E-06,4.27E-06,83,0.044676211,5.73E-06,5.92E-06,572,0.425682635
8.50E-06,9.03E-06,3813,0.811228513,1.34E-05,1.45E-05,560,0.313519608,3.68E-06,3.83E-06,780,0.312251462,3.74E-06,3.79E-06,186.5,0.174421206,2.63E-06,2.74E-06,650.59,0.513979194,7.42E-06,7.74E-06,447,0.175311382,9.47E-06,1.06E-05,1292,0.593809524,1.15E-05,1.19E-05,373,0.239149453,4.95E-06,5.03E-06,322,0.224377576,2.07E-06,1.56E-07,57,0.063519701,6.90E-06,7.17E-06,620,0.277077778,2.67E-06,2.87E-06,206,0.144101695,1.61E-06,1.67E-06,203,0.159284091,7.99E-06,8.64E-06,272,0.152352941,1.62E-06,1.69E-06,400,0.431070858,5.26E-06,5.47E-06,83,0.044676211,6.76E-06,7.06E-06,572,0.425682635
9.36E-06,1.00E-05,3813,0.811228513,1.43E-05,1.56E-05,560,0.313519608,3.97E-06,4.24E-06,780,0.312251462,4.25E-06,4.41E-06,186.5,0.174421206,2.91E-06,3.06E-06,650.59,0.513979194,8.18E-06,8.55E-06,447,0.175311382,1.06E-05,1.17E-05,1292,0.593809524,1.21E-05,1.27E-05,373,0.239149453,5.03E-06,5.32E-06,322,0.224377576,2.18E-06,2.34E-07,57,0.063519701,7.46E-06,7.89E-06,620,0.277077778,2.83E-06,3.10E-06,206,0.144101695,1.56E-06,1.84E-06,203,0.159284091,1.00E-05,1.07E-05,272,0.152352941,1.71E-06,1.81E-06,400,0.431070858,6.39E-06,6.70E-06,83,0.044676211,7.48E-06,7.99E-06,572,0.425682635
9.53E-06,1.06E-05,3813,0.811228513,1.52E-05,1.66E-05,560,0.313519608,4.29E-06,4.64E-06,780,0.312251462,4.38E-06,4.62E-06,186.5,0.174421206,3.19E-06,3.45E-06,650.59,0.513979194,8.98E-06,9.53E-06,447,0.175311382,1.12E-05,1.27E-05,1292,0.593809524,1.25E-05,1.34E-05,373,0.239149453,5.21E-06,5.57E-06,322,0.224377576,2.18E-06,2.34E-07,57,0.063519701,7.94E-06,8.55E-06,620,0.277077778,3.18E-06,3.47E-06,206,0.144101695,1.84E-06,2.05E-06,203,0.159284091,1.05E-05,1.14E-05,272,0.152352941,1.91E-06,2.10E-06,400,0.431070858,7.62E-06,8.01E-06,83,0.044676211,8.30E-06,8.90E-06,572,0.425682635
1.01E-05,1.14E-05,3813,0.811228513,1.58E-05,1.75E-05,560,0.313519608,4.60E-06,5.07E-06,780,0.312251462,4.46E-06,4.92E-06,186.5,0.174421206,3.47E-06,3.84E-06,650.59,0.513979194,9.97E-06,1.07E-05,447,0.175311382,1.22E-05,1.38E-05,1292,0.593809524,1.28E-05,1.39E-05,373,0.239149453,5.29E-06,5.81E-06,322,0.224377576,2.26E-06,3.51E-07,57,0.063519701,8.33E-06,9.11E-06,620,0.277077778,3.20E-06,3.56E-06,206,0.144101695,2.13E-06,2.33E-06,203,0.159284091,1.13E-05,1.26E-05,272,0.152352941,1.99E-06,2.30E-06,400,0.431070858,9.24E-06,9.77E-06,83,0.044676211,8.63E-06,9.56E-06,572,0.425682635
1.01E-05,1.18E-05,3813,0.811228513,1.53E-05,1.83E-05,560,0.313519608,4.93E-06,5.46E-06,780,0.312251462,4.68E-06,5.21E-06,186.5,0.174421206,3.70E-06,4.14E-06,650.59,0.513979194,1.09E-05,1.18E-05,447,0.175311382,1.30E-05,1.46E-05,1292,0.593809524,1.26E-05,1.39E-05,373,0.239149453,5.57E-06,6.20E-06,322,0.224377576,2.57E-06,4.68E-07,57,0.063519701,8.66E-06,9.65E-06,620,0.277077778,3.43E-06,3.78E-06,206,0.144101695,2.33E-06,2.57E-06,203,0.159284091,1.17E-05,1.34E-05,272,0.152352941,2.20E-06,2.61E-06,400,0.431070858,9.77E-06,1.04E-05,83,0.044676211,9.01E-06,1.03E-05,572,0.425682635
1.02E-05,1.21E-05,3813,0.811228513,1.54E-05,1.87E-05,560,0.313519608,4.93E-06,5.82E-06,780,0.312251462,4.89E-06,5.56E-06,186.5,0.174421206,3.78E-06,4.42E-06,650.59,0.513979194,1.14E-05,1.26E-05,447,0.175311382,1.33E-05,1.51E-05,1292,0.593809524,1.35E-05,1.52E-05,373,0.239149453,5.57E-06,6.48E-06,322,0.224377576,2.54E-06,6.24E-07,57,0.063519701,8.72E-06,9.97E-06,620,0.277077778,3.64E-06,4.03E-06,206,0.144101695,2.62E-06,2.85E-06,203,0.159284091,1.18E-05,1.41E-05,272,0.152352941,2.28E-06,2.76E-06,400,0.431070858,1.01E-05,1.08E-05,83,0.044676211,9.14E-06,1.08E-05,572,0.425682635
1.03E-05,1.23E-05,3813,0.811228513,1.53E-05,1.90E-05,560,0.313519608,5.12E-06,6.12E-06,780,0.312251462,4.89E-06,5.69E-06,186.5,0.174421206,3.97E-06,4.64E-06,650.59,0.513979194,1.19E-05,1.34E-05,447,0.175311382,1.35E-05,1.56E-05,1292,0.593809524,1.36E-05,1.58E-05,373,0.239149453,5.76E-06,6.77E-06,322,0.224377576,2.50E-06,6.63E-07,57,0.063519701,8.73E-06,1.02E-05,620,0.277077778,3.82E-06,4.34E-06,206,0.144101695,2.83E-06,3.14E-06,203,0.159284091,1.25E-05,1.49E-05,272,0.152352941,2.34E-06,2.92E-06,400,0.431070858,1.04E-05,1.17E-05,83,0.044676211,9.16E-06,1.12E-05,572,0.425682635
1.03E-05,0.0000125,3813,0.811228513,1.50E-05,1.95E-05,560,0.313519608,5.29E-06,6.41E-06,780,0.312251462,5.00E-06,5.85E-06,186.5,0.174421206,4.04E-06,4.85E-06,650.59,0.513979194,1.21E-05,1.39E-05,447,0.175311382,1.35E-05,1.59E-05,1292,0.593809524,1.38E-05,1.64E-05,373,0.239149453,5.76E-06,6.92E-06,322,0.224377576,2.34E-06,9.36E-07,57,0.063519701,8.50E-06,1.04E-05,620,0.277077778,3.74E-06,4.44E-06,206,0.144101695,3.14E-06,3.66E-06,203,0.159284091,1.31E-05,1.56E-05,272,0.152352941,2.53E-06,3.20E-06,400,0.431070858,1.14E-05,1.27E-05,83,0.044676211,9.21E-06,1.16E-05,572,0.425682635
1.04E-05,1.28E-05,3813,0.811228513,1.43E-05,1.97E-05,560,0.313519608,5.30E-06,6.75E-06,780,0.312251462,4.86E-06,6.01E-06,186.5,0.174421206,4.01E-06,4.95E-06,650.59,0.513979194,1.22E-05,1.43E-05,447,0.175311382,1.36E-05,1.63E-05,1292,0.593809524,1.34E-05,1.68E-05,373,0.239149453,5.68E-06,7.05E-06,322,0.224377576,2.11E-06,1.21E-06,57,0.063519701,8.31E-06,1.07E-05,620,0.277077778,3.91E-06,4.59E-06,206,0.144101695,3.29E-06,3.83E-06,203,0.159284091,1.36E-05,1.70E-05,272,0.152352941,2.61E-06,3.36E-06,400,0.431070858,1.20E-05,1.33E-05,83,0.044676211,9.22E-06,1.19E-05,572,0.425682635
1.04E-05,1.30E-05,3813,0.811228513,1.42E-05,2.00E-05,560,0.313519608,5.45E-06,7.09E-06,780,0.312251462,4.89E-06,6.12E-06,186.5,0.174421206,4.00E-06,5.07E-06,650.59,0.513979194,1.21E-05,1.47E-05,447,0.175311382,1.36E-05,1.70E-05,1292,0.593809524,1.29E-05,1.72E-05,373,0.239149453,5.76E-06,7.23E-06,322,0.224377576,1.91E-06,1.52E-06,57,0.063519701,8.15E-06,1.09E-05,620,0.277077778,3.87E-06,4.59E-06,206,0.144101695,3.08E-06,3.89E-06,203,0.159284091,1.33E-05,1.70E-05,272,0.152352941,2.60E-06,3.55E-06,400,0.431070858,1.25E-05,1.39E-05,83,0.044676211,9.03E-06,1.22E-05,572,0.425682635
9.36E-06,1.31E-05,3813,0.811228513,1.37E-05,2.01E-05,560,0.313519608,5.60E-06,7.38E-06,780,0.312251462,4.70E-06,6.14E-06,186.5,0.174421206,3.83E-06,5.21E-06,650.59,0.513979194,1.19E-05,1.51E-05,447,0.175311382,1.34E-05,1.73E-05,1292,0.593809524,1.24E-05,1.75E-05,373,0.239149453,5.65E-06,7.29E-06,322,0.224377576,1.91E-06,1.52E-06,57,0.063519701,7.91E-06,1.11E-05,620,0.277077778,3.89E-06,4.67E-06,206,0.144101695,3.20E-06,4.04E-06,203,0.159284091,1.21E-05,1.72E-05,272,0.152352941,2.58E-06,3.79E-06,400,0.431070858,1.27E-05,1.48E-05,83,0.044676211,8.54E-06,1.24E-05,572,0.425682635
